response,consent,age_range,gender,Question ID,Answer
R_3f3EHMeyshZJtIy,1,1,2,sup-inf,4
R_1rT78BdYcoHXG3P,1,1,2,sup-inf,4
R_2BmxglMO3mWj77Q,1,1,2,sup-inf,4
R_4ARoIbKGhuYSfoj,1,1,2,sup-inf,4
R_2cegr7a7NDwGE17,1,4,2,sup-inf,3
R_2Q3tw9YWehLuWC5,1,1,2,sup-inf,4
R_8EjgTBMVKNp9RIA,1,1,2,sup-inf,2
R_8Ixt04T12EThZHX,1,1,2,sup-inf,4
R_123AsqAJTSiCPeU,1,1,1,sup-inf,4
R_2hDSS7Uje63QwG1,1,1,1,sup-inf,4
R_2eqOF2n4371EtC4,1,1,,sup-inf,4
R_4n7NQuiii7uRIUj,1,1,2,sup-inf,1
R_2WwFzhrLgSeV7IA,1,1,2,sup-inf,4
R_1QoRbtstat9JLlr,1,1,2,sup-inf,4
R_2sQNqYi1wBimMEF,1,1,2,sup-inf,4
R_8q8QXcU8K7bFDNJ,1,1,2,sup-inf,4
R_7V7KVfERy2Nm9eE,1,1,2,sup-inf,2
R_2gLUqlQA2mBksa0,1,5,1,sup-inf,4
R_21aWbWtxfDBa5Ov,1,1,2,sup-inf,2
R_2fGBD7nK7n2s61b,,,,sup-inf,
R_4a9r2QjxjG9TxSu,1,,,sup-inf,4
R_7fckXG5d1ImjJQ0,1,,,sup-inf,
R_3QAbM0jwBphXtvL,1,1,2,sup-inf,
R_1js7dSFtiz6ckzb,1,5,2,sup-inf,4
R_30YTDCIRzV2c7Kj,1,1,2,sup-inf,
R_2ssRnFEj95NCxAg,1,1,2,sup-inf,
R_55jLrk1codfUSl3,1,1,2,sup-inf,4
R_2SB8r7D6wNCPIxn,1,1,2,sup-inf,4
R_2GNdCiikIQr5cxL,1,1,2,sup-inf,4
R_5RX7kgeJNIhzh9m,1,1,2,sup-inf,
R_3I3tEpUBbTmb9e9,1,1,2,sup-inf,4
R_7bZhjhx5rNNAywK,1,1,2,sup-inf,
R_7s5FZrzYQVJRnig,1,1,1,sup-inf,4
R_2bZvBGFFbHsjKgf,1,1,2,sup-inf,4
R_5eYJg54SiS8UJu9,1,,,sup-inf,
R_7F92O17DoMAkBMJ,1,1,2,sup-inf,
R_4TOJEtEXTvop1mh,1,1,2,sup-inf,4
R_5YnYAYHWWEVkin2,1,1,1,sup-inf,
R_21Nx4P0dkz4arOv,1,1,2,sup-inf,
R_5S1sbLoGixODEfS,1,1,2,sup-inf,
R_4rUKibYisBV3O7H,1,1,2,sup-inf,
R_4qy9IhTIaZbGQWf,1,,2,sup-inf,
R_1OQfYBRafbyIlah,1,1,2,sup-inf,
R_72RyKW7tvTGOAiG,1,1,2,sup-inf,
R_7YrX1BUMgvUF1dB,1,1,1,sup-inf,2
R_2Nh6Ya2eIKG5vi6,1,1,2,sup-inf,
R_1dgL5BptXXJCdTk,1,1,2,sup-inf,4
R_3f3EHMeyshZJtIy,1,1,2,inf-sup,4
R_1rT78BdYcoHXG3P,1,1,2,inf-sup,4
R_2BmxglMO3mWj77Q,1,1,2,inf-sup,4
R_4ARoIbKGhuYSfoj,1,1,2,inf-sup,4
R_2cegr7a7NDwGE17,1,4,2,inf-sup,4
R_2Q3tw9YWehLuWC5,1,1,2,inf-sup,4
R_8EjgTBMVKNp9RIA,1,1,2,inf-sup,4
R_8Ixt04T12EThZHX,1,1,2,inf-sup,4
R_123AsqAJTSiCPeU,1,1,1,inf-sup,4
R_2hDSS7Uje63QwG1,1,1,1,inf-sup,4
R_2eqOF2n4371EtC4,1,1,,inf-sup,4
R_4n7NQuiii7uRIUj,1,1,2,inf-sup,1
R_2WwFzhrLgSeV7IA,1,1,2,inf-sup,1
R_1QoRbtstat9JLlr,1,1,2,inf-sup,4
R_2sQNqYi1wBimMEF,1,1,2,inf-sup,4
R_8q8QXcU8K7bFDNJ,1,1,2,inf-sup,4
R_7V7KVfERy2Nm9eE,1,1,2,inf-sup,4
R_2gLUqlQA2mBksa0,1,5,1,inf-sup,3
R_21aWbWtxfDBa5Ov,1,1,2,inf-sup,4
R_2fGBD7nK7n2s61b,,,,inf-sup,
R_4a9r2QjxjG9TxSu,1,,,inf-sup,4
R_7fckXG5d1ImjJQ0,1,,,inf-sup,
R_3QAbM0jwBphXtvL,1,1,2,inf-sup,
R_1js7dSFtiz6ckzb,1,5,2,inf-sup,4
R_30YTDCIRzV2c7Kj,1,1,2,inf-sup,
R_2ssRnFEj95NCxAg,1,1,2,inf-sup,
R_55jLrk1codfUSl3,1,1,2,inf-sup,4
R_2SB8r7D6wNCPIxn,1,1,2,inf-sup,4
R_2GNdCiikIQr5cxL,1,1,2,inf-sup,4
R_5RX7kgeJNIhzh9m,1,1,2,inf-sup,
R_3I3tEpUBbTmb9e9,1,1,2,inf-sup,4
R_7bZhjhx5rNNAywK,1,1,2,inf-sup,
R_7s5FZrzYQVJRnig,1,1,1,inf-sup,4
R_2bZvBGFFbHsjKgf,1,1,2,inf-sup,4
R_5eYJg54SiS8UJu9,1,,,inf-sup,
R_7F92O17DoMAkBMJ,1,1,2,inf-sup,
R_4TOJEtEXTvop1mh,1,1,2,inf-sup,3
R_5YnYAYHWWEVkin2,1,1,1,inf-sup,
R_21Nx4P0dkz4arOv,1,1,2,inf-sup,
R_5S1sbLoGixODEfS,1,1,2,inf-sup,
R_4rUKibYisBV3O7H,1,1,2,inf-sup,
R_4qy9IhTIaZbGQWf,1,,2,inf-sup,
R_1OQfYBRafbyIlah,1,1,2,inf-sup,
R_72RyKW7tvTGOAiG,1,1,2,inf-sup,
R_7YrX1BUMgvUF1dB,1,1,1,inf-sup,4
R_2Nh6Ya2eIKG5vi6,1,1,2,inf-sup,
R_1dgL5BptXXJCdTk,1,1,2,inf-sup,4
R_3f3EHMeyshZJtIy,1,1,2,equal,2
R_1rT78BdYcoHXG3P,1,1,2,equal,4
R_2BmxglMO3mWj77Q,1,1,2,equal,4
R_4ARoIbKGhuYSfoj,1,1,2,equal,4
R_2cegr7a7NDwGE17,1,4,2,equal,4
R_2Q3tw9YWehLuWC5,1,1,2,equal,4
R_8EjgTBMVKNp9RIA,1,1,2,equal,4
R_8Ixt04T12EThZHX,1,1,2,equal,4
R_123AsqAJTSiCPeU,1,1,1,equal,4
R_2hDSS7Uje63QwG1,1,1,1,equal,4
R_2eqOF2n4371EtC4,1,1,,equal,4
R_4n7NQuiii7uRIUj,1,1,2,equal,1
R_2WwFzhrLgSeV7IA,1,1,2,equal,1
R_1QoRbtstat9JLlr,1,1,2,equal,4
R_2sQNqYi1wBimMEF,1,1,2,equal,4
R_8q8QXcU8K7bFDNJ,1,1,2,equal,1
R_7V7KVfERy2Nm9eE,1,1,2,equal,4
R_2gLUqlQA2mBksa0,1,5,1,equal,4
R_21aWbWtxfDBa5Ov,1,1,2,equal,1
R_2fGBD7nK7n2s61b,,,,equal,
R_4a9r2QjxjG9TxSu,1,,,equal,4
R_7fckXG5d1ImjJQ0,1,,,equal,
R_3QAbM0jwBphXtvL,1,1,2,equal,
R_1js7dSFtiz6ckzb,1,5,2,equal,4
R_30YTDCIRzV2c7Kj,1,1,2,equal,
R_2ssRnFEj95NCxAg,1,1,2,equal,
R_55jLrk1codfUSl3,1,1,2,equal,4
R_2SB8r7D6wNCPIxn,1,1,2,equal,3
R_2GNdCiikIQr5cxL,1,1,2,equal,4
R_5RX7kgeJNIhzh9m,1,1,2,equal,
R_3I3tEpUBbTmb9e9,1,1,2,equal,4
R_7bZhjhx5rNNAywK,1,1,2,equal,
R_7s5FZrzYQVJRnig,1,1,1,equal,4
R_2bZvBGFFbHsjKgf,1,1,2,equal,3
R_5eYJg54SiS8UJu9,1,,,equal,
R_7F92O17DoMAkBMJ,1,1,2,equal,
R_4TOJEtEXTvop1mh,1,1,2,equal,2
R_5YnYAYHWWEVkin2,1,1,1,equal,
R_21Nx4P0dkz4arOv,1,1,2,equal,
R_5S1sbLoGixODEfS,1,1,2,equal,
R_4rUKibYisBV3O7H,1,1,2,equal,
R_4qy9IhTIaZbGQWf,1,,2,equal,
R_1OQfYBRafbyIlah,1,1,2,equal,
R_72RyKW7tvTGOAiG,1,1,2,equal,
R_7YrX1BUMgvUF1dB,1,1,1,equal,1
R_2Nh6Ya2eIKG5vi6,1,1,2,equal,
R_1dgL5BptXXJCdTk,1,1,2,equal,4
R_3f3EHMeyshZJtIy,1,1,2,sup-inf.1,2
R_1rT78BdYcoHXG3P,1,1,2,sup-inf.1,4
R_2BmxglMO3mWj77Q,1,1,2,sup-inf.1,4
R_4ARoIbKGhuYSfoj,1,1,2,sup-inf.1,4
R_2cegr7a7NDwGE17,1,4,2,sup-inf.1,4
R_2Q3tw9YWehLuWC5,1,1,2,sup-inf.1,3
R_8EjgTBMVKNp9RIA,1,1,2,sup-inf.1,2
R_8Ixt04T12EThZHX,1,1,2,sup-inf.1,2
R_123AsqAJTSiCPeU,1,1,1,sup-inf.1,4
R_2hDSS7Uje63QwG1,1,1,1,sup-inf.1,4
R_2eqOF2n4371EtC4,1,1,,sup-inf.1,2
R_4n7NQuiii7uRIUj,1,1,2,sup-inf.1,1
R_2WwFzhrLgSeV7IA,1,1,2,sup-inf.1,1
R_1QoRbtstat9JLlr,1,1,2,sup-inf.1,1
R_2sQNqYi1wBimMEF,1,1,2,sup-inf.1,4
R_8q8QXcU8K7bFDNJ,1,1,2,sup-inf.1,4
R_7V7KVfERy2Nm9eE,1,1,2,sup-inf.1,4
R_2gLUqlQA2mBksa0,1,5,1,sup-inf.1,3
R_21aWbWtxfDBa5Ov,1,1,2,sup-inf.1,2
